"","term","mean","median","lower","upper","sd","ran_val","group","level"
"1","weather_Rainy",-198915.865720888,-199071.148683877,-247943.358199944,-148801.686612204,75281.4222177253,"fixed",NA,NA
"2","weather_Cloudy",-164610.621661496,-166049.970399273,-213224.66488463,-115009.121824522,75337.2110934045,"fixed",NA,NA
"3","track_condition_Firm",44214.8019464158,44224.2352586767,41118.8851796409,47219.330913901,4548.360868209,"fixed",NA,NA
"4","race_date",88.9938587684518,88.9532488697261,85.6661949632212,92.3605006560146,4.888664600304,"fixed",NA,NA
"5","favorite_odds",-89403.4691353193,-88922.2394455401,-99195.5072462309,-78726.7571321641,15450.7687620898,"fixed",NA,NA
"6","distance_id",-9960.40216468533,-9885.94222656384,-16640.863093724,-2940.76221598087,10580.07822732,"fixed",NA,NA
"7","purse_usa",278677.747648419,277633.270942249,259268.934565204,297737.270735756,29104.1257732428,"fixed",NA,NA
"8","all_NY",-19153.3477038285,-18899.7704580079,-24199.2614511632,-14432.8519880174,7174.38943030648,"fixed",NA,NA
"9","race_type_Allowance",-12850.4343004193,-13137.5113005052,-19967.9809494769,-5555.78623469542,10752.5823772887,"fixed",NA,NA
"10","race_type_Claiming",-40024.1135192443,-39921.7503354755,-46950.5112429809,-33228.9403202609,10009.3492896744,"fixed",NA,NA
"11","race_type_Maiden_Claiming",-16049.6472513551,-16235.1550532705,-23118.6650119266,-8834.47837787,10588.084516276,"fixed",NA,NA
"12","race_type_Maiden_Special_Weight",13665.4551495244,13731.352026719,6507.05272748041,20830.059250085,10756.9727666677,"fixed",NA,NA
"13","age_restriction_02",-81741.5318431528,-81779.2470377325,-88928.8557637089,-74578.2175236669,10980.3484014525,"fixed",NA,NA
"14","age_restriction_03",343.666669425582,597.841492594182,-7294.32774222237,7966.24293357342,11097.4948280837,"fixed",NA,NA
"15","sex_restriction_2",-12651.4944938217,-12685.9554409269,-16550.2254855747,-8713.98009996408,5970.32064454219,"fixed",NA,NA
"16","sex_restriction_3",-14041.7407064714,-14043.2228439674,-19542.9368992803,-8358.87678058632,8558.8275790546,"fixed",NA,NA
"17","surface_D",-54638.8166824873,-54396.0667037745,-60289.509012025,-49026.7865533878,8690.39388589824,"fixed",NA,NA
"18","number_of_runners_2",-946814.534271151,-948005.758442602,-983755.07606693,-910064.209657977,55687.571094173,"fixed",NA,NA
"19","number_of_runners_3",-719638.42612729,-721004.304811451,-756235.106360295,-685790.976420196,52082.8051981039,"fixed",NA,NA
"20","number_of_runners_5",-457676.017508293,-458307.710912699,-493383.549321431,-426089.524016385,50068.3635550404,"fixed",NA,NA
"21","number_of_runners_6",-380505.218482035,-381442.229541888,-414310.687797402,-349186.978342442,49486.7246690539,"fixed",NA,NA
"22","number_of_runners_7",-299603.198944095,-300063.908796556,-332835.436613357,-267997.70873641,49193.9682311817,"fixed",NA,NA
"23","number_of_runners_8",-237745.694730016,-238299.093137824,-272820.326693638,-205168.919213293,50303.7431764072,"fixed",NA,NA
"24","number_of_runners_9",-161763.795372617,-162558.729250504,-196550.157497266,-129712.327758745,50558.5571766975,"fixed",NA,NA
"25","number_of_runners_10",-103210.328435755,-105180.186435934,-138371.297682229,-69114.9158873476,51024.2067053665,"fixed",NA,NA
"26","(Intercept)",-2293.0433706035,-484.510221464048,-10955.9011695171,6649.14283571626,23588.9664340543,"random","track_id:day_of_week:race_number","AQU:Fri:1"
"27","(Intercept)",-1204.9677958951,-327.855669057756,-9942.50843069243,7693.51870719235,22929.7600740528,"random","track_id:day_of_week:race_number","AQU:Fri:2"
"28","(Intercept)",2758.22518751208,595.943566683347,-6713.05428456256,10730.96636888,23355.0076564614,"random","track_id:day_of_week:race_number","AQU:Fri:3"
"29","(Intercept)",-3533.23845807457,-764.643407542697,-11918.3321874634,7045.58074539909,24470.8437098276,"random","track_id:day_of_week:race_number","AQU:Fri:4"
"30","(Intercept)",-2191.99036062915,-445.642644107918,-10343.7567227216,7147.47735058801,25219.1683454546,"random","track_id:day_of_week:race_number","AQU:Fri:5"
"31","(Intercept)",-1600.58110700142,-269.973503540407,-10578.0081003488,7212.98378747972,23912.9544725963,"random","track_id:day_of_week:race_number","AQU:Fri:6"
"32","(Intercept)",-364.321972315575,4.27314041407857,-8717.26300430013,9212.1939205518,24071.6873717156,"random","track_id:day_of_week:race_number","AQU:Fri:7"
"33","(Intercept)",-3119.67655942993,-890.400274269563,-11321.7478413986,7207.0720397053,24724.4872545061,"random","track_id:day_of_week:race_number","AQU:Fri:8"
"34","(Intercept)",-401.655015410961,-90.0007984691627,-9389.79863880526,8741.12417775226,24084.8163923532,"random","track_id:day_of_week:race_number","AQU:Fri:9"
"35","(Intercept)",1292.50519940273,92.5442978218613,-8099.03080508998,9243.42243429047,25524.5866824433,"random","track_id:day_of_week:race_number","AQU:Fri:10"
"36","(Intercept)",2066.62249393779,511.767775567773,-7667.60629968984,10565.0726561292,24352.796004761,"random","track_id:day_of_week:race_number","AQU:Sat:1"
"37","(Intercept)",3805.15492381191,905.341148366369,-6721.59687367315,12029.0155682573,25667.4465014823,"random","track_id:day_of_week:race_number","AQU:Sat:2"
"38","(Intercept)",-1433.12498864811,-170.804158171849,-10137.539218937,8065.46610891998,23897.0996900294,"random","track_id:day_of_week:race_number","AQU:Sat:3"
"39","(Intercept)",2411.18429262389,507.291891369925,-6883.6141657279,10715.9226682168,24268.0963857398,"random","track_id:day_of_week:race_number","AQU:Sat:4"
"40","(Intercept)",-284.01810692974,-19.6327252823234,-9462.01764889491,8736.70994053332,23772.3541643256,"random","track_id:day_of_week:race_number","AQU:Sat:5"
"41","(Intercept)",-474.540339357538,-100.0903340599,-9351.27072578207,9811.0927861489,23179.2021420744,"random","track_id:day_of_week:race_number","AQU:Sat:6"
"42","(Intercept)",3523.10416196909,1166.0906308358,-6123.90743659059,11966.4338497578,23104.5568381647,"random","track_id:day_of_week:race_number","AQU:Sat:7"
"43","(Intercept)",263.503387601826,70.4103992237587,-9127.91366346683,9766.80383153913,25781.1778734036,"random","track_id:day_of_week:race_number","AQU:Sat:8"
"44","(Intercept)",3784.80640369514,707.878664806249,-6052.41658041634,11892.703542198,23902.6238736205,"random","track_id:day_of_week:race_number","AQU:Sat:9"
"45","(Intercept)",3072.94549794785,566.418495443561,-6727.68600998002,10824.6022736787,24815.4968601372,"random","track_id:day_of_week:race_number","AQU:Sat:10"
"46","(Intercept)",-456.850017475941,-5.07911969022139,-8936.97604411689,8540.17815520658,22551.0554859828,"random","track_id:day_of_week:race_number","AQU:Sun:1"
"47","(Intercept)",3103.3758396215,538.321925645584,-7327.72424792735,11261.3627824508,23709.7977276954,"random","track_id:day_of_week:race_number","AQU:Sun:2"
"48","(Intercept)",3581.54690614617,906.230423005679,-6217.71559355883,12714.8643278702,22684.8167918566,"random","track_id:day_of_week:race_number","AQU:Sun:3"
"49","(Intercept)",1673.00473516664,628.004241466047,-7744.36792534568,10658.435201277,23968.2324889866,"random","track_id:day_of_week:race_number","AQU:Sun:4"
"50","(Intercept)",-2749.58553437017,-432.50518801293,-10773.3597393777,6372.2599419271,23717.4081229642,"random","track_id:day_of_week:race_number","AQU:Sun:5"
"51","(Intercept)",1407.42702757304,157.261990210215,-7565.47591577799,9798.53523501511,23169.8526438527,"random","track_id:day_of_week:race_number","AQU:Sun:6"
"52","(Intercept)",1595.01486664914,212.78426188109,-8773.33280089336,10358.0170732515,25012.5652630138,"random","track_id:day_of_week:race_number","AQU:Sun:7"
"53","(Intercept)",522.342598424308,81.8406864660013,-9428.31275213254,9680.54188291741,24768.2225655135,"random","track_id:day_of_week:race_number","AQU:Sun:8"
"54","(Intercept)",-3002.86392089561,-782.574937912732,-11985.5255539666,6848.90017622717,24966.53264494,"random","track_id:day_of_week:race_number","AQU:Sun:9"
"55","(Intercept)",-2237.66140953118,-257.443919635924,-11308.3244465097,8031.67897417387,25394.0205530148,"random","track_id:day_of_week:race_number","AQU:Sun:10"
"56","(Intercept)",-2362.79269828926,-378.545849948801,-10715.0497787539,7470.69782317765,24443.7777799774,"random","track_id:day_of_week:race_number","AQU:Thu:1"
"57","(Intercept)",-601.517132947834,-83.0840122039219,-9523.5663468815,8553.90036746016,23638.8997406117,"random","track_id:day_of_week:race_number","AQU:Thu:2"
"58","(Intercept)",-1334.57750429942,-585.939457905442,-11187.5704188602,7396.55342456944,25316.6427876422,"random","track_id:day_of_week:race_number","AQU:Thu:3"
"59","(Intercept)",2138.96299145939,524.1645837107,-7319.21675843811,10467.9170824548,23869.3363597385,"random","track_id:day_of_week:race_number","AQU:Thu:4"
"60","(Intercept)",766.827872643768,86.7734261879406,-7880.50504609618,9052.16289267272,24417.9775979965,"random","track_id:day_of_week:race_number","AQU:Thu:5"
"61","(Intercept)",-3134.15741512781,-697.611559116325,-11051.3472568233,6590.77587210711,25465.153351898,"random","track_id:day_of_week:race_number","AQU:Thu:6"
"62","(Intercept)",-1917.37541035731,-285.643517353888,-10451.608812006,7312.4103530769,23823.3819427501,"random","track_id:day_of_week:race_number","AQU:Thu:7"
"63","(Intercept)",-5774.27779562727,-1405.60545435376,-14755.4966391369,5679.95585456377,24974.6299309189,"random","track_id:day_of_week:race_number","AQU:Thu:8"
"64","(Intercept)",-1172.97141528798,-72.0270419050329,-9149.57590771283,7639.86030668047,24480.0639382773,"random","track_id:day_of_week:race_number","AQU:Thu:9"
"65","(Intercept)",-1628.47197444401,-223.910636602563,-10303.3361280645,7632.72733757473,23841.349091421,"random","track_id:day_of_week:race_number","AQU:Wed:1"
"66","(Intercept)",-1895.45723696969,-456.891479591322,-10596.0478959682,8003.33616332552,25892.6790470176,"random","track_id:day_of_week:race_number","AQU:Wed:2"
"67","(Intercept)",-985.098370881977,-429.868110709432,-10322.5825729639,8058.38782993517,24446.0168072019,"random","track_id:day_of_week:race_number","AQU:Wed:3"
"68","(Intercept)",143.88154995199,-34.2711141558745,-9468.8535534858,8889.82379176086,24351.7982279267,"random","track_id:day_of_week:race_number","AQU:Wed:4"
"69","(Intercept)",897.831628465204,148.73269331143,-8417.10383039373,9803.71983187371,23818.322934728,"random","track_id:day_of_week:race_number","AQU:Wed:5"
"70","(Intercept)",-1271.06850334589,-90.0772235261214,-10611.583138236,8518.22619476226,24734.5563783765,"random","track_id:day_of_week:race_number","AQU:Wed:6"
"71","(Intercept)",-748.298950927056,-150.249137365131,-9968.57402461827,8589.77676007238,25835.4266614221,"random","track_id:day_of_week:race_number","AQU:Wed:7"
"72","(Intercept)",1223.24435036737,61.967379330906,-8465.1397945058,9223.65574755413,24442.68645522,"random","track_id:day_of_week:race_number","AQU:Wed:8"
"73","(Intercept)",-44.7633316979867,25.0058579427422,-9049.7490319362,9459.64781512902,25233.837475762,"random","track_id:day_of_week:race_number","AQU:Wed:9"
"74","(Intercept)",-1833.43843667207,-552.391835656015,-10876.6697011354,6970.4020551404,24453.4322536077,"random","track_id:day_of_week:race_number","BAQ:Fri:1"
"75","(Intercept)",-823.592824327197,-297.396809688381,-10428.1483762174,8658.8685142247,23226.628422674,"random","track_id:day_of_week:race_number","BAQ:Fri:2"
"76","(Intercept)",-1805.82336847616,-334.883541033565,-11143.301025949,7923.22648142555,25604.7900343886,"random","track_id:day_of_week:race_number","BAQ:Fri:3"
"77","(Intercept)",-1983.42773216791,-451.455510203666,-10711.0134669238,8440.28682589182,26025.5763915439,"random","track_id:day_of_week:race_number","BAQ:Fri:4"
"78","(Intercept)",-2249.09461104732,-650.296894535891,-10442.987868318,7107.04084533524,25375.1296702956,"random","track_id:day_of_week:race_number","BAQ:Fri:5"
"79","(Intercept)",-166.968485434035,-5.86995926865004,-9509.02344435555,9424.6581045502,25867.0779465198,"random","track_id:day_of_week:race_number","BAQ:Fri:6"
"80","(Intercept)",-2269.26631980216,-423.730682219624,-10992.1420631704,9013.08783961288,26634.4441469687,"random","track_id:day_of_week:race_number","BAQ:Fri:7"
"81","(Intercept)",-22.0157695112979,-242.624647803452,-9172.01903182661,8797.73860016985,24452.511867942,"random","track_id:day_of_week:race_number","BAQ:Fri:8"
"82","(Intercept)",-2246.05809246418,-409.551747423293,-12320.2019088425,7287.11671302913,23712.989587491,"random","track_id:day_of_week:race_number","BAQ:Fri:9"
"83","(Intercept)",-1490.15956478998,-175.846181784769,-11082.6549651596,7541.59915283444,24736.8973362327,"random","track_id:day_of_week:race_number","BAQ:Sat:1"
"84","(Intercept)",-1313.11093393192,-414.202402503692,-10404.8016787664,8249.56675243025,25153.4137395263,"random","track_id:day_of_week:race_number","BAQ:Sat:2"
"85","(Intercept)",-1052.26257420428,-261.662492668441,-9972.53505653854,7635.28205383459,22851.9853660217,"random","track_id:day_of_week:race_number","BAQ:Sat:4"
"86","(Intercept)",-460.157584354891,-76.6712577940095,-9244.68939100776,7701.71849665925,24945.0934468032,"random","track_id:day_of_week:race_number","BAQ:Sat:6"
"87","(Intercept)",-1919.3259039746,-561.122601692415,-11107.5637950263,7620.53502287975,24237.1088555356,"random","track_id:day_of_week:race_number","BAQ:Sun:1"
"88","(Intercept)",-342.622917542783,-190.048133012783,-10188.3022496827,9171.56922333302,25589.7883269187,"random","track_id:day_of_week:race_number","BAQ:Sun:2"
"89","(Intercept)",-55.221701584944,-96.621070913802,-9000.2873988089,8535.58124253943,24042.0033290464,"random","track_id:day_of_week:race_number","BAQ:Sun:4"
"90","(Intercept)",-357.766077620229,-88.109388126748,-9339.9100021312,8596.10652561241,24510.408577964,"random","track_id:day_of_week:race_number","BAQ:Sun:5"
"91","(Intercept)",-1259.25498936064,-322.886418473131,-10410.6769238609,7964.15670776771,25801.8161986028,"random","track_id:day_of_week:race_number","BAQ:Sun:6"
"92","(Intercept)",-255.127732755836,18.2034382148296,-9329.94500408122,9243.47339765317,24636.9312330686,"random","track_id:day_of_week:race_number","BAQ:Thu:1"
"93","(Intercept)",-2133.1782780112,-606.503506296529,-11216.6261544393,8008.38811604638,26329.6840307108,"random","track_id:day_of_week:race_number","BAQ:Thu:2"
"94","(Intercept)",-967.025002149058,-108.578402643581,-9985.28500109427,7952.8271988686,25297.0936794292,"random","track_id:day_of_week:race_number","BAQ:Thu:3"
"95","(Intercept)",-1709.76903862497,-305.137225379565,-9457.63205853284,7695.35878701629,23701.4142063864,"random","track_id:day_of_week:race_number","BAQ:Thu:4"
"96","(Intercept)",-859.620782356087,-455.411863504174,-9581.91579794717,8289.88683951305,23696.2937963346,"random","track_id:day_of_week:race_number","BAQ:Thu:5"
"97","(Intercept)",714.064988203148,161.274955409351,-8420.28423445441,9709.28473577226,24697.8311171881,"random","track_id:day_of_week:race_number","BAQ:Thu:6"
"98","(Intercept)",-880.358170115429,-126.106176698975,-8554.17141976026,8101.41501990079,24925.363691437,"random","track_id:day_of_week:race_number","BAQ:Thu:7"
"99","(Intercept)",-941.523287286182,-54.6543430250316,-9611.4919977158,8849.22762811243,26126.4492379813,"random","track_id:day_of_week:race_number","BAQ:Thu:8"
"100","(Intercept)",-2196.40548495375,-350.504794397871,-10347.352534045,7520.76674987413,23787.6341002158,"random","track_id:day_of_week:race_number","BAQ:Thu:9"
"101","(Intercept)",2429.51032744763,498.519816567157,-7251.98475168141,11664.7925481444,24169.7946884179,"random","track_id:day_of_week:race_number","BEL:Fri:1"
"102","(Intercept)",705.324477051601,148.457500906067,-9028.42385709158,10133.4253547951,23295.251239524,"random","track_id:day_of_week:race_number","BEL:Fri:2"
"103","(Intercept)",1619.32642913789,397.341548883923,-7480.63683409103,10530.8745315394,24239.2312153683,"random","track_id:day_of_week:race_number","BEL:Fri:3"
"104","(Intercept)",4198.59379373914,862.6676085801,-6959.22191913145,13033.5412289904,24981.1065749285,"random","track_id:day_of_week:race_number","BEL:Fri:4"
"105","(Intercept)",3974.41824840589,923.704192921383,-6815.86633157709,12379.6614193264,25301.7639075929,"random","track_id:day_of_week:race_number","BEL:Fri:5"
"106","(Intercept)",-4178.87504189103,-1013.08803649226,-13239.0651560635,6586.06170703912,25359.5745637286,"random","track_id:day_of_week:race_number","BEL:Fri:6"
"107","(Intercept)",-8712.19390828739,-2732.87246503032,-17290.0204277889,3559.9793334913,26450.553641209,"random","track_id:day_of_week:race_number","BEL:Fri:7"
"108","(Intercept)",-324.721253172591,-83.3186377749854,-9754.79357594352,9608.25251528438,25299.2401735326,"random","track_id:day_of_week:race_number","BEL:Fri:8"
"109","(Intercept)",-2015.03761702854,-346.668014037404,-11162.9985341801,7815.04946813287,24046.490935568,"random","track_id:day_of_week:race_number","BEL:Fri:9"
"110","(Intercept)",1108.73020894809,261.633079181168,-8112.57698359523,9735.80474944335,24135.5973798906,"random","track_id:day_of_week:race_number","BEL:Sat:1"
"111","(Intercept)",-2648.12201031122,-608.558066063623,-11873.8657005851,7450.4967490522,25567.8854192457,"random","track_id:day_of_week:race_number","BEL:Sat:2"
"112","(Intercept)",2642.63262932252,689.209679599936,-7037.87152558824,11349.8670519729,23668.9042803308,"random","track_id:day_of_week:race_number","BEL:Sat:3"
"113","(Intercept)",-2195.55353987324,-447.69401776978,-10652.179331121,7332.21240586799,24355.7788775325,"random","track_id:day_of_week:race_number","BEL:Sat:4"
"114","(Intercept)",110.532578114199,201.783469809137,-7722.56211408628,9156.0324377812,23531.7489550535,"random","track_id:day_of_week:race_number","BEL:Sat:5"
"115","(Intercept)",-3483.1337801331,-860.717819654916,-11493.9908714724,6761.74202606918,25091.8304809611,"random","track_id:day_of_week:race_number","BEL:Sat:6"
"116","(Intercept)",-1275.56261245531,-336.780299568405,-10111.65242924,7795.1296418783,22594.3743468996,"random","track_id:day_of_week:race_number","BEL:Sat:7"
"117","(Intercept)",-4719.40756328825,-859.846094170999,-12378.5417310333,6191.17729319958,25008.7457065544,"random","track_id:day_of_week:race_number","BEL:Sat:8"
"118","(Intercept)",-5384.71605483796,-1105.81382751456,-13938.5462013267,5395.19160409086,24915.8730783407,"random","track_id:day_of_week:race_number","BEL:Sat:9"
"119","(Intercept)",-5558.62159984876,-1239.92849253345,-13369.1465001668,5928.37363941367,26564.9838335282,"random","track_id:day_of_week:race_number","BEL:Sat:10"
"120","(Intercept)",-3654.27457476727,-748.850440782496,-11462.5919265375,6291.24623199516,25120.6935337219,"random","track_id:day_of_week:race_number","BEL:Sat:11"
"121","(Intercept)",-6447.02613646961,-1700.28374478308,-14950.6291430362,5732.42316310402,26939.4786979822,"random","track_id:day_of_week:race_number","BEL:Sat:12"
"122","(Intercept)",-860.145051410703,-56.6576709907278,-9373.12266690799,8720.43058077335,25558.4031492176,"random","track_id:day_of_week:race_number","BEL:Sun:1"
"123","(Intercept)",1071.59329348909,138.19030561592,-8675.54981369446,9904.16752516698,24564.7012579946,"random","track_id:day_of_week:race_number","BEL:Sun:2"
"124","(Intercept)",986.780629471881,157.189639195843,-8525.83541676037,10123.9840806538,24805.2661874825,"random","track_id:day_of_week:race_number","BEL:Sun:3"
"125","(Intercept)",-507.60450181086,-190.45367083147,-8913.0603246592,7848.68901149662,24562.506277205,"random","track_id:day_of_week:race_number","BEL:Sun:4"
"126","(Intercept)",-953.719410581124,-129.580631108046,-9895.14463040736,8430.67281824146,24021.6322403481,"random","track_id:day_of_week:race_number","BEL:Sun:5"
"127","(Intercept)",-3987.70587069963,-874.639338930636,-11565.0575391349,5839.05223967613,25267.1914552824,"random","track_id:day_of_week:race_number","BEL:Sun:6"
"128","(Intercept)",-5172.96881054264,-1531.52596346697,-13653.4918220893,5639.3831168726,24495.4030480794,"random","track_id:day_of_week:race_number","BEL:Sun:7"
"129","(Intercept)",-3588.89926643577,-650.920909527045,-11708.3070663412,7350.00346675672,24475.422168179,"random","track_id:day_of_week:race_number","BEL:Sun:8"
"130","(Intercept)",-6697.022690545,-1982.10367798634,-15860.8383353981,4766.65283253374,25968.5265002732,"random","track_id:day_of_week:race_number","BEL:Sun:9"
"131","(Intercept)",-293.358971732762,-8.9092917872695,-9350.18409542334,9556.97521601835,25541.6396437806,"random","track_id:day_of_week:race_number","BEL:Sun:10"
"132","(Intercept)",-592.466680629452,-123.26778867955,-9482.65777803101,8924.54070511421,24321.5381029016,"random","track_id:day_of_week:race_number","BEL:Thu:1"
"133","(Intercept)",2500.88282547317,372.164337786422,-7170.76832182647,10634.0792295713,24461.5274306096,"random","track_id:day_of_week:race_number","BEL:Thu:2"
"134","(Intercept)",1768.93125506924,445.078338487853,-7587.84580437573,10825.0656356929,24129.0718887836,"random","track_id:day_of_week:race_number","BEL:Thu:3"
"135","(Intercept)",-4676.21489390315,-1490.01615966828,-13892.4531675473,5196.76376208267,24731.8521959096,"random","track_id:day_of_week:race_number","BEL:Thu:4"
"136","(Intercept)",-1069.7984741892,-401.292512933311,-10946.5754884605,8324.26894535477,25560.0553519552,"random","track_id:day_of_week:race_number","BEL:Thu:5"
"137","(Intercept)",378.643953213032,65.656835810651,-8619.85248462305,9016.07937362794,23649.5484854998,"random","track_id:day_of_week:race_number","BEL:Thu:6"
"138","(Intercept)",-113.436571141471,10.7466979238277,-8596.12606243063,8970.35280077044,23012.8263541924,"random","track_id:day_of_week:race_number","BEL:Thu:7"
"139","(Intercept)",-5.19029307750004,-32.8597489814865,-9442.14842280598,9664.12364685827,25542.3962663003,"random","track_id:day_of_week:race_number","BEL:Thu:8"
"140","(Intercept)",-1504.49547982265,-481.526340379574,-10821.6941594134,7725.44830907667,24747.5701693153,"random","track_id:day_of_week:race_number","BEL:Thu:9"
"141","(Intercept)",-874.525067418111,-193.597298852391,-9797.24358820525,8393.3666562375,25324.8896345268,"random","track_id:day_of_week:race_number","BEL:Wed:1"
"142","(Intercept)",681.648677526258,117.326368967261,-8833.66555684191,9072.62124297569,23916.5320180736,"random","track_id:day_of_week:race_number","BEL:Wed:2"
"143","(Intercept)",1428.46070853521,281.070677919605,-7378.83964808924,10115.9623727973,23766.9665585645,"random","track_id:day_of_week:race_number","BEL:Wed:3"
"144","(Intercept)",-941.024395939722,-80.3495317495772,-10852.1803292726,9124.4921071141,25215.0838508397,"random","track_id:day_of_week:race_number","BEL:Wed:4"
"145","(Intercept)",-2113.92244978194,-369.496144194072,-11000.9184050237,8359.15800371001,25484.9778057117,"random","track_id:day_of_week:race_number","BEL:Wed:5"
"146","(Intercept)",5189.0578898362,997.341049843843,-5535.64901660325,12660.1689309732,24570.0704272296,"random","track_id:day_of_week:race_number","BEL:Wed:6"
"147","(Intercept)",2005.94673841743,296.928629251196,-7934.88916353711,10975.8015428905,23568.0522356498,"random","track_id:day_of_week:race_number","BEL:Wed:7"
"148","(Intercept)",-3654.08615677667,-764.777803436806,-11731.3902954846,6732.54657682053,25669.7259793906,"random","track_id:day_of_week:race_number","BEL:Wed:8"
"149","(Intercept)",-2208.81954813006,-779.022194246006,-11478.9428606755,6773.21498327987,25866.0276395586,"random","track_id:day_of_week:race_number","BEL:Wed:9"
"150","(Intercept)",2953.80349803907,998.037073656037,-6949.1490458598,12765.898909969,23981.6508581128,"random","track_id:day_of_week:race_number","SAR:Fri:1"
"151","(Intercept)",1838.05271584435,455.441569291233,-7756.31371647532,10195.3904896351,23889.2638622179,"random","track_id:day_of_week:race_number","SAR:Fri:2"
"152","(Intercept)",2491.63957937546,248.922218265878,-8006.46238215113,11402.4761690706,25056.8148413333,"random","track_id:day_of_week:race_number","SAR:Fri:3"
"153","(Intercept)",3545.49829856596,665.333048670942,-7219.6093395085,12364.8041619802,25299.8200549355,"random","track_id:day_of_week:race_number","SAR:Fri:4"
"154","(Intercept)",2207.39766816899,256.575046133664,-7762.69727303852,10486.3474121317,24514.4977634441,"random","track_id:day_of_week:race_number","SAR:Fri:5"
"155","(Intercept)",-162.015835193181,170.14592960082,-9164.56660020932,9437.96696490483,24738.9269176224,"random","track_id:day_of_week:race_number","SAR:Fri:6"
"156","(Intercept)",4254.06552606438,701.57173158547,-5940.34910104955,12516.5149472304,24808.7918023131,"random","track_id:day_of_week:race_number","SAR:Fri:7"
"157","(Intercept)",7272.90702275769,1937.04959640098,-5247.68918575328,15558.5832107347,27400.3302224884,"random","track_id:day_of_week:race_number","SAR:Fri:8"
"158","(Intercept)",5750.30347724253,1631.89817563706,-5559.02776166769,14043.7869319331,26364.5229350459,"random","track_id:day_of_week:race_number","SAR:Fri:9"
"159","(Intercept)",-2354.70258688795,-361.171927893139,-10337.5551223179,7540.33121514391,25589.4684148726,"random","track_id:day_of_week:race_number","SAR:Fri:10"
"160","(Intercept)",680.304766871574,29.3354438801041,-9233.25713093977,9825.49990051809,25325.3685013237,"random","track_id:day_of_week:race_number","SAR:Fri:11"
"161","(Intercept)",4518.99547598396,1102.86724278076,-6659.16385812973,12892.9352179986,25206.8245561015,"random","track_id:day_of_week:race_number","SAR:Sat:1"
"162","(Intercept)",3286.1060726746,866.993638465043,-6672.17888768948,12577.7612932634,26441.3293360633,"random","track_id:day_of_week:race_number","SAR:Sat:2"
"163","(Intercept)",6752.16909916357,2096.13382189191,-4100.3980277747,13889.5223946615,26128.3502927022,"random","track_id:day_of_week:race_number","SAR:Sat:3"
"164","(Intercept)",4997.59492012353,1448.66339296896,-4940.1014255058,13103.5359124295,24099.9509709489,"random","track_id:day_of_week:race_number","SAR:Sat:4"
"165","(Intercept)",4895.42742895402,981.810981237219,-5698.46560825921,12735.6706958526,26076.9588166611,"random","track_id:day_of_week:race_number","SAR:Sat:5"
"166","(Intercept)",7890.39687760022,2115.36188078151,-4161.67251023767,15849.0867000969,27365.2503563917,"random","track_id:day_of_week:race_number","SAR:Sat:6"
"167","(Intercept)",-1503.10313082285,-416.235561646077,-9464.5833731937,7669.90714757783,23800.7545875618,"random","track_id:day_of_week:race_number","SAR:Sat:7"
"168","(Intercept)",-1681.56613430648,-291.986912041127,-10284.2449803663,8336.66009382352,24694.5746102452,"random","track_id:day_of_week:race_number","SAR:Sat:8"
"169","(Intercept)",3007.34298137566,780.027914721876,-6544.084472089,11222.9026015281,25348.4285902173,"random","track_id:day_of_week:race_number","SAR:Sat:9"
"170","(Intercept)",6968.43169337173,1699.25258205462,-4957.33960062348,14939.3434006588,27333.6778705017,"random","track_id:day_of_week:race_number","SAR:Sat:10"
"171","(Intercept)",-3747.47060895542,-576.832882133377,-11836.4281362271,6980.88704295664,26348.6608704024,"random","track_id:day_of_week:race_number","SAR:Sat:11"
"172","(Intercept)",-2761.76657160287,-611.751588639153,-11590.2299219147,6617.50547038333,26549.2186681235,"random","track_id:day_of_week:race_number","SAR:Sat:12"
"173","(Intercept)",-657.088221208784,-166.5949877268,-9105.56551155227,7970.39184685847,25464.0740662475,"random","track_id:day_of_week:race_number","SAR:Sun:1"
"174","(Intercept)",-362.292669343458,-150.898757642214,-9261.26310104182,8525.86109540173,23371.644758362,"random","track_id:day_of_week:race_number","SAR:Sun:2"
"175","(Intercept)",8184.86774260006,1986.27796731863,-4036.85242200256,16775.0878720732,26270.4980866337,"random","track_id:day_of_week:race_number","SAR:Sun:3"
"176","(Intercept)",6684.57928588498,1889.93898042709,-5303.7395530418,15528.5451690404,26006.7297080726,"random","track_id:day_of_week:race_number","SAR:Sun:4"
"177","(Intercept)",-476.164908318571,8.06828486055441,-9964.60046187199,9736.59762125622,24465.1879760506,"random","track_id:day_of_week:race_number","SAR:Sun:5"
"178","(Intercept)",4131.57737556832,1411.79944710744,-6006.81228985237,11556.2373741248,25371.9793095821,"random","track_id:day_of_week:race_number","SAR:Sun:6"
"179","(Intercept)",-1922.16472723601,-432.393983692753,-11276.4304793544,8017.24592404788,24874.0448029411,"random","track_id:day_of_week:race_number","SAR:Sun:7"
"180","(Intercept)",8732.96466589594,2690.40668558651,-4001.8327923432,16803.2496255254,27269.393026226,"random","track_id:day_of_week:race_number","SAR:Sun:8"
"181","(Intercept)",-390.124152388866,-227.253052777697,-9533.75214066378,8511.76413156224,24531.4304038901,"random","track_id:day_of_week:race_number","SAR:Sun:9"
